City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,Esmeraldas,-19.7625,-44.3139,70.66,44,1,2.06,BR,2022-07-28 23:09:51
99,La Rioja,42.25,-2.5,62.38,72,62,4.38,ES,2022-07-28 23:09:51
100,Tasiilaq,65.6145,-37.6368,41.16,96,100,3.78,GL,2022-07-28 23:09:52
101,Nevel,56.0209,29.9284,52.25,98,28,4.59,RU,2022-07-28 23:09:52
102,Beloha,-25.1667,45.05,63.59,81,8,11.88,MG,2022-07-28 23:07:25
103,Quatre Cocos,-20.2078,57.7625,70.09,78,9,10.49,MU,2022-07-28 23:09:53
104,Saldanha,-33.0117,17.9442,57.09,78,51,15.73,ZA,2022-07-28 23:09:53
105,Clyde River,70.4692,-68.5914,37.63,100,100,9.22,CA,2022-07-28 23:09:53
106,Lebu,-37.6167,-73.65,49.3,86,0,16.33,CL,2022-07-28 23:09:54
107,Waddan,29.1614,16.139,84.61,31,0,10.47,LY,2022-07-28 23:09:54
108,Effingham,32.3669,-81.3332,91.85,75,99,6.93,US,2022-07-28 23:05:45
109,Luderitz,-26.6481,15.1594,53.31,87,62,2.53,NA,2022-07-28 23:09:55
110,Coquimbo,-29.9533,-71.3436,55.13,94,0,4.61,CL,2022-07-28 23:09:55
111,Goderich,43.7501,-81.7165,74.91,69,55,8.39,CA,2022-07-28 23:09:55
112,Cabedelo,-6.9811,-34.8339,75.87,83,6,10.65,BR,2022-07-28 23:07:20
113,Ilulissat,69.2167,-51.1,55.42,44,40,9.22,GL,2022-07-28 23:09:56
114,Port Hawkesbury,45.6169,-61.3485,73.78,83,3,7.0,CA,2022-07-28 23:06:51
115,Adrar,20.5022,-10.0711,96.98,9,31,3.15,MR,2022-07-28 23:09:56
116,Mehamn,71.0357,27.8492,48.15,87,100,6.91,NO,2022-07-28 23:09:56
117,Mwinilunga,-11.7358,24.4293,56.05,47,100,3.51,ZM,2022-07-28 23:09:57
118,Dunmore Town,25.5,-76.65,82.04,76,6,16.91,BS,2022-07-28 23:09:57
119,Nouadhibou,20.931,-17.0347,73.51,74,0,30.09,MR,2022-07-28 23:09:58
120,Koppa,13.5304,75.3633,69.85,96,53,1.1,IN,2022-07-28 23:09:58
121,Saint George,37.1041,-113.5841,99.43,29,0,12.66,US,2022-07-28 23:07:54
122,Thinadhoo,0.5333,72.9333,81.34,76,93,12.64,MV,2022-07-28 23:06:33
123,Padang,-0.9492,100.3543,77.72,86,100,4.94,ID,2022-07-28 23:09:59
124,Bridlington,54.0831,-0.1919,61.9,84,100,11.48,GB,2022-07-28 23:09:59
125,Zhanaozen,43.3,52.8,74.12,59,1,7.25,KZ,2022-07-28 23:09:59
126,Camana,-16.6228,-72.7111,60.85,85,35,10.54,PE,2022-07-28 23:06:30
127,Qaqortoq,60.7167,-46.0333,46.44,75,36,5.82,GL,2022-07-28 23:10:00
128,Nuuk,64.1835,-51.7216,45.21,81,75,3.44,GL,2022-07-28 23:06:25
129,Port Shepstone,-30.7414,30.455,64.31,87,71,10.0,ZA,2022-07-28 23:10:00
130,Nanortalik,60.1432,-45.2371,44.91,85,61,4.94,GL,2022-07-28 23:10:00
131,Grindavik,63.8424,-22.4338,46.87,100,100,12.66,IS,2022-07-28 23:11:01
132,Tangi,34.3006,71.6536,78.8,89,83,1.34,PK,2022-07-28 23:11:01
133,Igarka,67.4667,86.5833,53.26,75,0,13.06,RU,2022-07-28 23:11:02
134,Casablanca,33.5928,-7.6192,75.33,78,0,8.99,MA,2022-07-28 23:06:45
135,Goundam,16.4145,-3.6708,96.12,37,16,12.15,ML,2022-07-28 23:11:02
136,Brae,60.3964,-1.353,53.35,84,100,8.12,GB,2022-07-28 23:11:03
137,Kinshasa,-4.3246,15.3215,75.06,54,68,4.43,CD,2022-07-28 23:06:11
138,Bambous Virieux,-20.3428,57.7575,70.21,77,8,10.2,MU,2022-07-28 23:11:03
139,Najran,17.4924,44.1277,81.14,45,26,5.21,SA,2022-07-28 23:11:04
140,Sechura,-5.5569,-80.8222,69.48,64,7,17.0,PE,2022-07-28 23:11:04
141,Ribeira Grande,38.5167,-28.7,73.31,77,15,4.59,PT,2022-07-28 23:11:04
142,San Ramon De La Nueva Oran,-23.1322,-64.326,61.29,62,100,6.51,AR,2022-07-28 23:11:04
143,Tonantins,-2.8731,-67.8022,75.18,93,68,1.68,BR,2022-07-28 23:11:05
144,Cidreira,-30.1811,-50.2056,59.07,95,100,20.56,BR,2022-07-28 23:11:06
145,Artyom,40.4723,50.333,75.34,84,0,21.81,AZ,2022-07-28 23:11:06
146,Coihaique,-45.5752,-72.0662,41.61,81,100,5.75,CL,2022-07-28 23:10:02
147,Rustenburg,-25.6676,27.2421,55.65,49,5,3.67,ZA,2022-07-28 23:11:07
148,Pangody,65.85,74.4859,59.94,69,45,5.75,RU,2022-07-28 23:11:07
149,Tacoronte,28.4769,-16.4102,69.15,72,100,21.0,ES,2022-07-28 23:11:07
150,Ponta Do Sol,32.6667,-17.1,74.71,84,1,2.53,PT,2022-07-28 23:11:08
151,Codrington,-38.2667,141.9667,46.4,78,20,1.41,AU,2022-07-28 23:11:08
152,Mezen,65.8522,44.24,56.35,97,86,5.32,RU,2022-07-28 23:11:08
153,Semnan,35.5729,53.3971,83.75,48,62,8.14,IR,2022-07-28 23:11:09
